,Channel Title,Channel Username,ID,Message,Date,Media Path
0,Channel Title,Channel Username,ID,Message,Date,Media Path
6,Sheger online-store,@Shageronlinestore,5328,"3pcs silicon brush spatulas

እስከ 260°c ሙቀት መቆቆም የሚችል
      
         ዋጋ-550ብር

 አድራሻ  ቁ.1 ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

ቁ.2 ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

ለቡ ቅርንጫፍ0973611819



     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-20 11:50:02+00:00,photos/@Shageronlinestore_5328.jpg
7,Sheger online-store,@Shageronlinestore,5327,"Mandoline Slicer

 ጊዜ ቆጣቢ ስላይስ ማድረጊያ 
  ለእጅ ሴፍቲ ተመራጭ
  ለድንች ለካሮትና ሌሎች አታክልቶች ተመራጭ 
ጥራት ያለው ዕቃ

     ዋጋ፦  1,200 ብር

 አድራሻ  ቁ.1 ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

ቁ.2 ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

ለቡ ቅርንጫፍ0973611819



     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-20 08:11:40+00:00,
8,Sheger online-store,@Shageronlinestore,5326,"Table Desk Edge Guard Strip
        High Quality 

Made from soft, environmentally friendly, fireproof and non-toxic material.

Help to protect your child from the sharp edges and corners at home
Suitable for wood, bakelite, ceramic tile, marble, glass, metal corner, etc
Total length 2m, suitable for different sizes of furniture.

#Package_Included:
1* Table Desk Edge Guard Strip
1 * Double-sided Adhesive

ዋጋ፦    2meter:- 500 ብር

ውስን ፍሬ ነው ያለው

 አድራሻ  ቁ.1 ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

ቁ.2 ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

ለቡ ቅርንጫፍ0973611819


     


     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-20 05:23:18+00:00,
9,Sheger online-store,@Shageronlinestore,5325,"Table Desk Edge Guard Strip
        High Quality 

Made from soft, environmentally friendly, fireproof and non-toxic material.

Help to protect your child from the sharp edges and corners at home
Suitable for wood, bakelite, ceramic tile, marble, glass, metal corner, etc
Total length 2m, suitable for different sizes of furniture.

#Package_Included:
1* Table Desk Edge Guard Strip
1 * Double-sided Adhesive

ዋጋ፦    2meter:- 500 ብር

ውስን ፍሬ ነው ያለው

 አድራሻ  ቁ.1 ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

ቁ.2 ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

ለቡ ቅርንጫፍ0973611819


     


     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-20 05:21:14+00:00,photos/@Shageronlinestore_5325.jpg
11,Sheger online-store,@Shageronlinestore,5323,"Only baby 3in1 double bottle milk warmer,sterilizer,food steamer

        ዋጋ:-3000ብር

ውስን ፍሬ ነው ያለው

 አድራሻ  ቁ.1 ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

ቁ.2 ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

ለቡ ቅርንጫፍ0973611819



     


     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-19 13:54:46+00:00,photos/@Shageronlinestore_5323.jpg
12,Sheger online-store,@Shageronlinestore,5322,"Only baby 3in1 double bottle milk warmer,sterilizer,food steamer

        ዋጋ:-3000ብር

ውስን ፍሬ ነው ያለው

 አድራሻ  ቁ.1 ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

ቁ.2 ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

ለቡ ቅርንጫፍ0973611819



     


     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-19 13:54:27+00:00,photos/@Shageronlinestore_5322.jpg
15,Sheger online-store,@Shageronlinestore,5319,"1pc stainless steel loaf pan

ትልቁ

         ዋጋ:-ትልቁ:-800ብር

ውስን ፍሬ ነው ያለው

 አድራሻ  ቁ.1 ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

ቁ.2 ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

ለቡ ቅርንጫፍ0973611819

     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-19 07:51:05+00:00,photos/@Shageronlinestore_5319.jpg
17,Sheger online-store,@Shageronlinestore,5317,"Geemy Rechargable Hair  Clipper

 የፀጉርና የፂም መቁረጪያ ቶንዶስ
 በቻርጅ የሚሰራ 
 ከ3-4 ሰዓት ቻርጅ ተደርጎ ከ240-300 ደቂቃ  ይጠቀሙበታል
 መለዋወጫ 4 ጥርስ ያለው
 2000mA ባትሪ
 በየትኛውም የሰውነት ክፍል የሚበቅል ፀጉርን ሙልጭጭ አድርጎ ይቆርጣል፤ ቅርፅም ያወጣል
 ፀጉር ቤት ይዘውት ቢጠቀሙበት የሚያኮራ
 የባትሪ መጠን ማሳያ ስክሪን ያለው

      ዋጋ:-2100 ብር

ውስን ፍሬ ነው ያለው

 አድራሻ  ቁ.1 ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

ቁ.2 ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214

ለቡ ቅርንጫፍ0973611819

     
     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-18 14:19:39+00:00,photos/@Shageronlinestore_5317.jpg
20,Sheger online-store,@Shageronlinestore,5314," kids water bottle

 ጠንካራ እና እማይሰበር

     ዋጋ:-450ml:-600ብር
           800ml:-650ብር

 አድራሻ  ቁ.1 መገናኝ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

ቁ.2 ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214


ለቡ ቅርንጫፍ0973611819

     


     0909522840
     0923350054


  በTelegram ለማዘዝ  ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን
https://t.me/Shageronlinestore",2024-09-18 10:38:39+00:00,photos/@Shageronlinestore_5314.jpg
